extractor,classifier,noise_level,auc_mean,auc_drop_from_clean
deepseek,XGBoost,0.0,0.9341485884158932,0.0
deepseek,XGBoost,0.05,0.9080435553373698,0.0261
deepseek,XGBoost,0.1,0.9080435553373698,0.0261
deepseek,XGBoost,0.2,0.893986014031424,0.0402
deepseek,XGBoost,0.3,0.8740248881148489,0.0601
deepseek,LogReg,0.0,0.9111804338000952,0.0
deepseek,LogReg,0.05,0.8940617264469743,0.0171
deepseek,LogReg,0.1,0.8940617264469743,0.0171
deepseek,LogReg,0.2,0.8766139644097425,0.0346
deepseek,LogReg,0.3,0.8553545226796333,0.0558
deepseek,MLP,0.0,0.8992837661983464,0.0
deepseek,MLP,0.05,0.8845834145036402,0.0147
deepseek,MLP,0.1,0.8845834145036402,0.0147
deepseek,MLP,0.2,0.8582335133366061,0.0411
deepseek,MLP,0.3,0.8364933420867393,0.0628
qwen2b,XGBoost,0.0,0.915119039505668,0.0
qwen2b,XGBoost,0.05,0.8914424737045368,0.0237
qwen2b,XGBoost,0.1,0.8914424737045368,0.0237
qwen2b,XGBoost,0.2,0.8861762901848532,0.0289
qwen2b,XGBoost,0.3,0.8777349152705449,0.0374
qwen2b,LogReg,0.0,0.8929344931934473,0.0
qwen2b,LogReg,0.05,0.8734693441201191,0.0195
qwen2b,LogReg,0.1,0.8734693441201191,0.0195
qwen2b,LogReg,0.2,0.8612456202067824,0.0317
qwen2b,LogReg,0.3,0.8457908633704964,0.0471
qwen2b,MLP,0.0,0.8653669271156973,0.0
qwen2b,MLP,0.05,0.8470482582387552,0.0183
qwen2b,MLP,0.1,0.8470482582387552,0.0183
qwen2b,MLP,0.2,0.8371938487792037,0.0282
qwen2b,MLP,0.3,0.8330068783800579,0.0324
