dataset,model,auc_mean,auc_std,f1_mean,acc_mean
original_gt,XGBoost,0.9239778210245702,0.016815826024843893,0.884064405769194,0.8692622950819672
original_gt,LogReg,0.9128021553948795,0.01407939078392179,0.8681162341148028,0.8529520076027559
original_gt,MLP,0.8889815380390262,0.02659390356430791,0.8401034129951122,0.8213292943692089
extracted_clean,XGBoost,0.9341485884158933,0.019028826793487563,0.8860292222044162,0.8723557843198796
extracted_clean,LogReg,0.9111804338000951,0.024038198233135584,0.866190329486367,0.853279769003829
extracted_clean,MLP,0.8992837661983464,0.013470121888688819,0.843864372366885,0.8264264641265457
noise_00pct_confidence,XGBoost,0.9218591084772969,0.016352244868136554,0.8646204736142428,0.8499529219760216
noise_00pct_confidence,LogReg,0.8989014735332852,0.017862850811153064,0.8467324887902137,0.8342351390370973
noise_00pct_confidence,MLP,0.8941828130641337,0.015132886405586899,0.8325262759258976,0.8152344485594124
noise_00pct_random,XGBoost,0.9080435553373698,0.013361791512847717,0.8580545421599514,0.8420940305065596
noise_00pct_random,LogReg,0.8940617264469743,0.020234715697259025,0.8387578828078783,0.8230368464001003
noise_00pct_random,MLP,0.8845834145036402,0.011761319761295616,0.8240506619211658,0.8028811750674786
noise_05pct_confidence,XGBoost,0.9218591084772969,0.016352244868136554,0.8646204736142428,0.8499529219760216
noise_05pct_confidence,LogReg,0.8989014735332852,0.017862850811153064,0.8467324887902137,0.8342351390370973
noise_05pct_confidence,MLP,0.8941828130641337,0.015132886405586899,0.8325262759258976,0.8152344485594124
noise_05pct_random,XGBoost,0.9080435553373698,0.013361791512847717,0.8580545421599514,0.8420940305065596
noise_05pct_random,LogReg,0.8940617264469743,0.020234715697259025,0.8387578828078783,0.8230368464001003
noise_05pct_random,MLP,0.8845834145036402,0.011761319761295616,0.8240506619211658,0.8028811750674786
noise_10pct_confidence,XGBoost,0.9218591084772969,0.016352244868136554,0.8646204736142428,0.8499529219760216
noise_10pct_confidence,LogReg,0.8989014735332852,0.017862850811153064,0.8467324887902137,0.8342351390370973
noise_10pct_confidence,MLP,0.8941828130641337,0.015132886405586899,0.8325262759258976,0.8152344485594124
noise_10pct_random,XGBoost,0.9080435553373698,0.013361791512847717,0.8580545421599514,0.8420940305065596
noise_10pct_random,LogReg,0.8940617264469743,0.020234715697259025,0.8387578828078783,0.8230368464001003
noise_10pct_random,MLP,0.8845834145036402,0.011761319761295616,0.8240506619211658,0.8028811750674786
noise_20pct_confidence,XGBoost,0.9094523212110349,0.01364150511855786,0.8585363488749955,0.8432301801519051
noise_20pct_confidence,LogReg,0.894731680186393,0.016004397372261114,0.8502897951216717,0.8365011612579248
noise_20pct_confidence,MLP,0.8747738952396537,0.01983566304903907,0.8268320729972674,0.809635302240914
noise_20pct_random,XGBoost,0.893986014031424,0.017097881234638894,0.8411249433624768,0.8242232126043563
noise_20pct_random,LogReg,0.8766139644097425,0.01844367324714951,0.8134863945578232,0.7961709873830897
noise_20pct_random,MLP,0.8582335133366061,0.016150964058631118,0.8014850292041403,0.7827819973636306
noise_30pct_confidence,XGBoost,0.9179676838280176,0.015204928632816774,0.8668803538690456,0.8522001129872576
noise_30pct_confidence,LogReg,0.8933128037392887,0.02049750875967037,0.8413006083975016,0.827568890841755
noise_30pct_confidence,MLP,0.8811598587506785,0.021254234986010485,0.8274058270300879,0.8096478563806416
noise_30pct_random,XGBoost,0.8740248881148489,0.01773133589533783,0.8351706661405014,0.8197099993722929
noise_30pct_random,LogReg,0.8553545226796333,0.013687931500157072,0.8032567399702856,0.78498524888582
noise_30pct_random,MLP,0.8364933420867393,0.03191687052777412,0.7810504699415736,0.7615152846651183
