dataset,model,auc_mean,auc_std,f1_mean,acc_mean
original_gt,XGBoost,0.9239778210245702,0.016815826024843893,0.884064405769194,0.8692622950819672
original_gt,LogReg,0.9128021553948795,0.01407939078392179,0.8681162341148028,0.8529520076027559
original_gt,MLP,0.8889815380390262,0.02659390356430791,0.8401034129951122,0.8213292943692089
extracted_clean,XGBoost,0.9151190395056681,0.021357988287548264,0.8376761956861023,0.8430597771023305
extracted_clean,LogReg,0.8929344931934473,0.025408349305228384,0.814588820602868,0.8245086119554206
extracted_clean,MLP,0.8653669271156973,0.020742007161529536,0.7803088031171852,0.7902836879432623
noise_00pct_confidence,XGBoost,0.9147100917651869,0.01606270270792419,0.8450100047893455,0.8487639311043566
noise_00pct_confidence,LogReg,0.8938761737912639,0.025293408176774234,0.8175482135979821,0.8273556231003039
noise_00pct_confidence,MLP,0.8628255445843573,0.01842598306501915,0.7957674545539557,0.8030901722391084
noise_00pct_random,XGBoost,0.8914424737045368,0.023078834224879087,0.8196019537277943,0.8259169199594731
noise_00pct_random,LogReg,0.8734693441201191,0.0240716042468319,0.8011983107029762,0.8116210739614994
noise_00pct_random,MLP,0.8470482582387552,0.028335490555904088,0.7625187227156405,0.7688956433637284
noise_05pct_confidence,XGBoost,0.9147100917651869,0.01606270270792419,0.8450100047893455,0.8487639311043566
noise_05pct_confidence,LogReg,0.8938761737912639,0.025293408176774234,0.8175482135979821,0.8273556231003039
noise_05pct_confidence,MLP,0.8628255445843573,0.01842598306501915,0.7957674545539557,0.8030901722391084
noise_05pct_random,XGBoost,0.8914424737045368,0.023078834224879087,0.8196019537277943,0.8259169199594731
noise_05pct_random,LogReg,0.8734693441201191,0.0240716042468319,0.8011983107029762,0.8116210739614994
noise_05pct_random,MLP,0.8470482582387552,0.028335490555904088,0.7625187227156405,0.7688956433637284
noise_10pct_confidence,XGBoost,0.9147100917651869,0.01606270270792419,0.8450100047893455,0.8487639311043566
noise_10pct_confidence,LogReg,0.8938761737912639,0.025293408176774234,0.8175482135979821,0.8273556231003039
noise_10pct_confidence,MLP,0.8628255445843573,0.01842598306501915,0.7957674545539557,0.8030901722391084
noise_10pct_random,XGBoost,0.8914424737045368,0.023078834224879087,0.8196019537277943,0.8259169199594731
noise_10pct_random,LogReg,0.8734693441201191,0.0240716042468319,0.8011983107029762,0.8116210739614994
noise_10pct_random,MLP,0.8470482582387552,0.028335490555904088,0.7625187227156405,0.7688956433637284
noise_20pct_confidence,XGBoost,0.9067397617739934,0.022080066974245412,0.8389553492336749,0.8444984802431611
noise_20pct_confidence,LogReg,0.8926208585731029,0.024946984465892434,0.8175345494748478,0.8273657548125634
noise_20pct_confidence,MLP,0.8675475529951638,0.023190875495118522,0.7950802277432713,0.803080040526849
noise_20pct_random,XGBoost,0.8861762901848532,0.017033050353157015,0.811099050338032,0.8173961499493414
noise_20pct_random,LogReg,0.8612456202067824,0.031111663302483945,0.7907983051153906,0.801661600810537
noise_20pct_random,MLP,0.8371938487792037,0.023591469138479423,0.7587645293191126,0.7675075987841946
noise_30pct_confidence,XGBoost,0.8988005263101628,0.026997937106945775,0.8236741350224401,0.8302330293819656
noise_30pct_confidence,LogReg,0.891029675688172,0.029788778260202264,0.823077350490383,0.8330496453900708
noise_30pct_confidence,MLP,0.8528184186507698,0.019055647972998052,0.772281960375391,0.7845694022289766
noise_30pct_random,XGBoost,0.8777349152705449,0.02218429170157862,0.7851238033003121,0.7973860182370821
noise_30pct_random,LogReg,0.8457908633704964,0.029112757157089823,0.762924780971615,0.7774164133738601
noise_30pct_random,MLP,0.8330068783800579,0.026335438692255228,0.7327912952520048,0.7489260385005065
